date,bitcoin chart_unscaled,bitcoin chart_monthly,isPartial,scale,bitcoin chart
2018-12-14,68,7.0,,0.07,4.760000000000001
2018-12-15,29,7.0,,0.07,2.0300000000000002
2018-12-16,62,8.0,False,0.08,4.96
2018-12-17,45,8.0,,0.08,3.6
2018-12-18,70,8.0,,0.08,5.6000000000000005
2018-12-19,52,8.0,,0.08,4.16
2018-12-20,26,8.0,,0.08,2.08
2018-12-21,43,8.0,,0.08,3.44
2018-12-22,70,8.0,,0.08,5.6000000000000005
2018-12-23,30,7.0,False,0.07,2.1
2018-12-24,47,7.0,,0.07,3.2900000000000005
2018-12-25,68,7.0,,0.07,4.760000000000001
2018-12-26,54,7.0,,0.07,3.7800000000000002
2018-12-27,53,7.0,,0.07,3.7100000000000004
2018-12-28,80,7.0,,0.07,5.6000000000000005
2018-12-29,45,7.0,,0.07,3.1500000000000004
2018-12-30,40,6.0,False,0.06,2.4
2018-12-31,45,6.0,,0.06,2.6999999999999997
2019-01-01,8,6.0,,0.06,0.48
2019-01-02,76,6.0,,0.06,4.56
2019-01-03,100,6.0,,0.06,6.0
2019-01-04,88,6.0,,0.06,5.279999999999999
2019-01-05,37,6.0,,0.06,2.2199999999999998
2019-01-06,81,5.0,False,0.05,4.05
2019-01-07,66,5.0,,0.05,3.3000000000000003
2019-01-08,45,5.0,,0.05,2.25
2019-01-09,26,5.0,,0.05,1.3
2019-01-10,59,5.0,,0.05,2.95
2019-01-11,88,5.0,,0.05,4.4
2019-01-12,44,5.0,,0.05,2.2
2019-01-13,80,4.0,False,0.04,3.2
2019-01-14,26,4.0,,0.04,1.04
2019-01-15,51,4.0,,0.04,2.04
2019-01-16,46,4.0,,0.04,1.84
2019-01-17,78,4.0,,0.04,3.12
2019-01-18,47,4.0,,0.04,1.8800000000000001
2019-01-19,7,4.0,,0.04,0.28
2019-01-20,35,4.0,False,0.04,1.4000000000000001
2019-01-21,52,4.0,,0.04,2.08
2019-01-22,44,4.0,,0.04,1.76
2019-01-23,31,4.0,,0.04,1.24
2019-01-24,45,4.0,,0.04,1.8
2019-01-25,59,4.0,,0.04,2.36
2019-01-26,37,4.0,,0.04,1.48
2019-01-27,71,4.0,False,0.04,2.84
2019-01-28,19,4.0,,0.04,0.76
2019-01-29,45,4.0,,0.04,1.8
2019-01-30,51,4.0,,0.04,2.04
2019-01-31,19,4.0,,0.04,0.76
2019-02-01,68,4.0,,0.04,2.72
2019-02-02,92,4.0,,0.04,3.68
2019-02-03,66,3.0,False,0.03,1.98
2019-02-04,44,3.0,,0.03,1.3199999999999998
2019-02-05,44,3.0,,0.03,1.3199999999999998
2019-02-06,36,3.0,,0.03,1.08
2019-02-07,36,3.0,,0.03,1.08
2019-02-08,38,3.0,,0.03,1.14
2019-02-09,58,3.0,,0.03,1.74
2019-02-10,24,4.0,False,0.04,0.96
2019-02-11,43,4.0,,0.04,1.72
2019-02-12,79,4.0,,0.04,3.16
2019-02-13,57,4.0,,0.04,2.2800000000000002
2019-02-14,52,4.0,,0.04,2.08
2019-02-15,23,4.0,,0.04,0.92
2019-02-16,17,4.0,,0.04,0.68
2019-02-17,17,5.0,False,0.05,0.8500000000000001
2019-02-18,29,5.0,,0.05,1.4500000000000002
2019-02-19,50,5.0,,0.05,2.5
2019-02-20,51,5.0,,0.05,2.5500000000000003
2019-02-21,36,5.0,,0.05,1.8
2019-02-22,68,5.0,,0.05,3.4000000000000004
2019-02-23,100,5.0,,0.05,5.0
2019-02-24,91,4.0,False,0.04,3.64
2019-02-25,79,4.0,,0.04,3.16
2019-02-26,66,4.0,,0.04,2.64
2019-02-27,50,4.0,,0.04,2.0
2019-02-28,89,4.0,,0.04,3.56
2019-03-01,32,4.0,,0.04,1.28
2019-03-02,9,4.0,,0.04,0.36
2019-03-03,53,4.0,False,0.04,2.12
2019-03-04,47,4.0,,0.04,1.8800000000000001
2019-03-05,31,4.0,,0.04,1.24
2019-03-06,53,4.0,,0.04,2.12
2019-03-07,8,4.0,,0.04,0.32
2019-03-08,49,4.0,,0.04,1.96
2019-03-09,36,4.0,,0.04,1.44
2019-03-10,26,3.0,False,0.03,0.78
